order_id;item_id;product_id;quantity;list_price;discount;;;;;;2.285.419,32;; 14.874.687,18 
1;1;20;1;599,99;0,2;;;;order_id; 4.969.885,37 ; 445,12 ; 4.969.440,25 ;
1;2;8;2;1799,99;0,07;;;;1; 7.448,96 ; 0,57 ;;
1;3;10;2;1549;0,05;;;;2; 1.199,98 ; 0,12 ;;
1;4;16;2;599,99;0,05;;;;3; 1.599,98 ; 0,10 ;;
1;5;4;1;2899,99;0,2;;;;4; 749,99 ; 0,10 ;;
2;1;20;1;599,99;0,07;;;;5; 2.577,99 ; 0,19 ;;
2;2;16;2;599,99;0,05;;;;6; 5.598,96 ; 0,36 ;;
3;1;3;1;999,99;0,05;;;;7; 1.958,98 ; 0,27 ;;
3;2;20;1;599,99;0,05;;;;8; 869,98 ; 0,12 ;;
4;1;2;2;749,99;0,1;;;;9; 3.999,99 ; 0,10 ;;
5;1;10;2;1549;0,05;;;;10; 269,99 ; 0,10 ;;
5;2;17;1;429;0,07;;;;11; 2.669,97 ; 0,35 ;;
5;3;26;1;599,99;0,07;;;;12; 4.580,98 ; 0,15 ;;
6;1;18;1;449;0,07;;;;13; 1.898,97 ; 0,30 ;;
6;2;12;2;549,99;0,05;;;;14; 469,99 ; 0,07 ;;
6;3;20;1;599,99;0,1;;;;15; 3.098,97 ; 0,39 ;;
6;4;3;2;999,99;0,07;;;;16; 2.609,96 ; 0,39 ;;
6;5;9;2;2999,99;0,07;;;;17; 4.020,96 ; 0,47 ;;
7;1;15;1;529,99;0,07;;;;18; 8.519,95 ; 0,50 ;;
7;2;3;1;999,99;0,1;;;;19; 4.548,99 ; 0,27 ;;
7;3;17;2;429;0,1;;;;20; 4.548,99 ; 0,14 ;;
8;1;22;1;269,99;0,05;;;;21; 2.247,99 ; 0,22 ;;
8;2;20;2;599,99;0,07;;;;22; 799,98 ; 0,25 ;;
9;1;7;2;3999,99;0,1;;;;23; 3.469,97 ; 0,35 ;;
10;1;14;1;269,99;0,1;;;;24; 1.448,99 ; 0,17 ;;
11;1;8;1;1799,99;0,05;;;;25; 2.658,96 ; 0,90 ;;
11;2;22;2;269,99;0,1;;;;26; 5.569,96 ; 0,52 ;;
11;3;16;2;599,99;0,2;;;;27; 4.169,97 ; 0,54 ;;
12;1;4;2;2899,99;0,1;;;;28; 6.060,96 ; 0,40 ;;
12;2;11;1;1680,99;0,05;;;;29; 3.359,95 ; 0,60 ;;
13;1;13;1;269,99;0,1;;;;30; 8.377,97 ; 0,42 ;;
13;2;17;2;429;0,05;;;;31; 4.680,98 ; 0,25 ;;
13;3;20;2;599,99;0,1;;;;32; 2.849,97 ; 0,24 ;;
13;4;16;2;599,99;0,05;;;;33; 4.299,98 ; 0,17 ;;
14;1;6;1;469,99;0,07;;;;34; 3.777,99 ; 0,37 ;;
15;1;12;2;549,99;0,07;;;;35; 2.909,96 ; 0,44 ;;
15;2;8;1;1799,99;0,07;;;;36; 5.320,97 ; 0,32 ;;
15;3;18;2;449;0,05;;;;37; 599,99 ; 0,05 ;;
15;4;23;2;299,99;0,2;;;;38; 6.898,96 ; 0,49 ;;
16;1;8;1;1799,99;0,2;;;;39; 2.399,96 ; 0,55 ;;
16;2;21;1;269,99;0,05;;;;40; 2.228,99 ; 0,40 ;;
16;3;13;2;269,99;0,07;;;;41; 2.369,98 ; 0,50 ;;
16;4;14;1;269,99;0,07;;;;42; 449,00 ; 0,05 ;;
17;1;8;1;1799,99;0,07;;;;43; 819,98 ; 0,15 ;;
